carnet,nombre,carrera,departamento,promedio
EST000100,Estudiante 100,Arquitectura,San Miguel,6.15
EST000101,Estudiante 101,Arquitectura,San Salvador,7.87
EST000102,Estudiante 102,Ingeniería en Sistemas,San Salvador,9.34
EST000103,Estudiante 103,Ingeniería Industrial,La Libertad,8.46
EST000104,Estudiante 104,Ingeniería en Sistemas,Sonsonate,9.52
EST000105,Estudiante 105,Arquitectura,San Miguel,6.12
EST000106,Estudiante 106,Arquitectura,San Miguel,6.62
EST000107,Estudiante 107,Arquitectura,Santa Ana,8.77
EST000108,Estudiante 108,Administración,San Salvador,6.27
EST000109,Estudiante 109,Ingeniería en Sistemas,San Salvador,6.75
EST000110,Estudiante 110,Ingeniería en Sistemas,San Salvador,9.15
EST000111,Estudiante 111,Ingeniería en Sistemas,La Libertad,8.95
EST000112,Estudiante 112,Arquitectura,Sonsonate,6.38
EST000113,Estudiante 113,Administración,Sonsonate,7.59
EST000114,Estudiante 114,Contaduría,San Salvador,6.46
EST000115,Estudiante 115,Contaduría,Santa Ana,7.65
EST000116,Estudiante 116,Arquitectura,Sonsonate,7.03
EST000117,Estudiante 117,Arquitectura,La Libertad,5.95
EST000118,Estudiante 118,Administración,San Salvador,5.6
EST000119,Estudiante 119,Ingeniería Industrial,Sonsonate,7.57
EST000120,Estudiante 120,Ingeniería en Sistemas,San Miguel,8.15
EST000121,Estudiante 121,Arquitectura,La Libertad,5.42
EST000122,Estudiante 122,Arquitectura,Sonsonate,5.11
EST000123,Estudiante 123,Administración,La Libertad,5.46
EST000124,Estudiante 124,Ingeniería Industrial,San Miguel,6.13
EST000125,Estudiante 125,Ingeniería en Sistemas,San Salvador,9.92
EST000126,Estudiante 126,Arquitectura,San Miguel,6.76
EST000127,Estudiante 127,Contaduría,La Libertad,7.18
EST000128,Estudiante 128,Contaduría,San Salvador,9.33
EST000129,Estudiante 129,Arquitectura,San Miguel,6.27
EST000130,Estudiante 130,Arquitectura,San Salvador,6.36
EST000131,Estudiante 131,Arquitectura,Sonsonate,6.08
EST000132,Estudiante 132,Ingeniería en Sistemas,Sonsonate,10.0
EST000133,Estudiante 133,Administración,San Miguel,5.43
EST000134,Estudiante 134,Contaduría,San Miguel,9.58
EST000135,Estudiante 135,Administración,Sonsonate,5.41
EST000136,Estudiante 136,Arquitectura,San Miguel,8.15
EST000137,Estudiante 137,Arquitectura,San Salvador,7.4
EST000138,Estudiante 138,Administración,La Libertad,5.28
EST000139,Estudiante 139,Arquitectura,La Libertad,5.19
EST000140,Estudiante 140,Ingeniería Industrial,Santa Ana,7.93
EST000141,Estudiante 141,Administración,La Libertad,8.4
EST000142,Estudiante 142,Contaduría,San Salvador,7.78
EST000143,Estudiante 143,Administración,San Salvador,5.39
EST000144,Estudiante 144,Contaduría,San Miguel,7.44
EST000145,Estudiante 145,Ingeniería Industrial,San Miguel,8.69
EST000146,Estudiante 146,Arquitectura,Sonsonate,6.36
EST000147,Estudiante 147,Contaduría,Santa Ana,9.91
EST000148,Estudiante 148,Contaduría,La Libertad,7.97
EST000149,Estudiante 149,Ingeniería en Sistemas,San Miguel,7.35
EST000150,Estudiante 150,Ingeniería en Sistemas,Sonsonate,8.06
EST000151,Estudiante 151,Ingeniería en Sistemas,San Miguel,7.12
EST000152,Estudiante 152,Administración,San Salvador,6.63
EST000153,Estudiante 153,Arquitectura,Sonsonate,5.0
EST000154,Estudiante 154,Ingeniería en Sistemas,Santa Ana,5.47
EST000155,Estudiante 155,Ingeniería Industrial,Sonsonate,5.6
EST000156,Estudiante 156,Ingeniería en Sistemas,Santa Ana,8.75
EST000157,Estudiante 157,Ingeniería Industrial,La Libertad,8.82
EST000158,Estudiante 158,Arquitectura,Santa Ana,5.55
EST000159,Estudiante 159,Ingeniería Industrial,La Libertad,9.2
EST000160,Estudiante 160,Ingeniería Industrial,San Salvador,5.67
EST000161,Estudiante 161,Ingeniería en Sistemas,Sonsonate,7.85
EST000162,Estudiante 162,Contaduría,Sonsonate,5.17
EST000163,Estudiante 163,Ingeniería en Sistemas,San Miguel,9.22
EST000164,Estudiante 164,Contaduría,Santa Ana,6.08
EST000165,Estudiante 165,Administración,San Salvador,8.27
EST000166,Estudiante 166,Ingeniería Industrial,Santa Ana,7.91
EST000167,Estudiante 167,Ingeniería en Sistemas,Santa Ana,6.9
EST000168,Estudiante 168,Arquitectura,La Libertad,7.7
EST000169,Estudiante 169,Arquitectura,Sonsonate,6.56
EST000170,Estudiante 170,Arquitectura,La Libertad,9.89
EST000171,Estudiante 171,Arquitectura,San Salvador,9.33
EST000172,Estudiante 172,Administración,San Salvador,8.64
EST000173,Estudiante 173,Ingeniería Industrial,San Salvador,5.42
EST000174,Estudiante 174,Contaduría,San Miguel,7.33
EST000175,Estudiante 175,Ingeniería Industrial,San Miguel,5.03
EST000176,Estudiante 176,Administración,Santa Ana,5.95
EST000177,Estudiante 177,Ingeniería en Sistemas,Sonsonate,9.72
EST000178,Estudiante 178,Administración,Santa Ana,8.06
EST000179,Estudiante 179,Administración,San Miguel,9.8
EST000180,Estudiante 180,Ingeniería Industrial,Sonsonate,5.7
EST000181,Estudiante 181,Contaduría,Santa Ana,8.93
EST000182,Estudiante 182,Administración,Sonsonate,9.08
EST000183,Estudiante 183,Ingeniería en Sistemas,La Libertad,7.33
EST000184,Estudiante 184,Arquitectura,La Libertad,8.22
EST000185,Estudiante 185,Administración,San Salvador,7.91
EST000186,Estudiante 186,Administración,San Miguel,6.12
EST000187,Estudiante 187,Ingeniería Industrial,San Salvador,8.42
EST000188,Estudiante 188,Contaduría,San Salvador,9.48
EST000189,Estudiante 189,Contaduría,San Miguel,7.52
EST000190,Estudiante 190,Arquitectura,Sonsonate,5.48
EST000191,Estudiante 191,Ingeniería en Sistemas,San Miguel,8.37
EST000192,Estudiante 192,Ingeniería Industrial,La Libertad,7.24
EST000193,Estudiante 193,Ingeniería Industrial,Santa Ana,6.01
EST000194,Estudiante 194,Ingeniería Industrial,Sonsonate,6.36
EST000195,Estudiante 195,Contaduría,San Miguel,5.85
EST000196,Estudiante 196,Arquitectura,San Salvador,6.97
EST000197,Estudiante 197,Administración,Santa Ana,8.09
EST000198,Estudiante 198,Contaduría,San Salvador,5.64
EST000199,Estudiante 199,Arquitectura,San Miguel,5.62
EST000200,Estudiante 200,Arquitectura,San Salvador,8.08
EST000201,Estudiante 201,Administración,Sonsonate,7.06
EST000202,Estudiante 202,Arquitectura,Sonsonate,6.94
EST000203,Estudiante 203,Contaduría,La Libertad,7.61
EST000204,Estudiante 204,Ingeniería en Sistemas,San Salvador,9.1
EST000205,Estudiante 205,Administración,Sonsonate,6.17
EST000206,Estudiante 206,Administración,Sonsonate,6.62
EST000207,Estudiante 207,Arquitectura,San Miguel,6.39
EST000208,Estudiante 208,Arquitectura,Santa Ana,7.09
EST000209,Estudiante 209,Ingeniería Industrial,Santa Ana,9.08
EST000210,Estudiante 210,Arquitectura,Sonsonate,5.07
EST000211,Estudiante 211,Contaduría,Santa Ana,7.58
EST000212,Estudiante 212,Ingeniería en Sistemas,Sonsonate,5.14
EST000213,Estudiante 213,Arquitectura,Santa Ana,6.84
EST000214,Estudiante 214,Ingeniería Industrial,Santa Ana,9.94
EST000215,Estudiante 215,Ingeniería Industrial,San Miguel,7.14
EST000216,Estudiante 216,Administración,Santa Ana,6.36
EST000217,Estudiante 217,Ingeniería Industrial,San Miguel,6.62
EST000218,Estudiante 218,Contaduría,Santa Ana,8.94
EST000219,Estudiante 219,Arquitectura,Santa Ana,5.95
EST000220,Estudiante 220,Contaduría,San Miguel,5.58
EST000221,Estudiante 221,Arquitectura,La Libertad,6.78
EST000222,Estudiante 222,Contaduría,La Libertad,8.69
EST000223,Estudiante 223,Ingeniería en Sistemas,San Miguel,9.92
EST000224,Estudiante 224,Arquitectura,Sonsonate,6.19
EST000225,Estudiante 225,Ingeniería en Sistemas,Santa Ana,8.29
EST000226,Estudiante 226,Arquitectura,San Salvador,5.34
EST000227,Estudiante 227,Ingeniería Industrial,San Salvador,7.3
EST000228,Estudiante 228,Ingeniería Industrial,Sonsonate,8.36
EST000229,Estudiante 229,Administración,La Libertad,8.36
EST000230,Estudiante 230,Contaduría,San Salvador,5.1
EST000231,Estudiante 231,Ingeniería Industrial,San Miguel,6.31
EST000232,Estudiante 232,Administración,San Miguel,9.59
EST000233,Estudiante 233,Ingeniería Industrial,La Libertad,9.8
EST000234,Estudiante 234,Ingeniería en Sistemas,Sonsonate,6.89
EST000235,Estudiante 235,Contaduría,San Miguel,8.56
EST000236,Estudiante 236,Ingeniería en Sistemas,San Salvador,5.03
EST000237,Estudiante 237,Ingeniería en Sistemas,La Libertad,5.58
EST000238,Estudiante 238,Ingeniería en Sistemas,Santa Ana,9.25
EST000239,Estudiante 239,Administración,San Salvador,7.42
EST000240,Estudiante 240,Contaduría,Santa Ana,5.23
EST000241,Estudiante 241,Ingeniería en Sistemas,Sonsonate,8.29
EST000242,Estudiante 242,Ingeniería en Sistemas,Sonsonate,9.62
EST000243,Estudiante 243,Administración,San Miguel,7.51
EST000244,Estudiante 244,Contaduría,Santa Ana,9.91
EST000245,Estudiante 245,Contaduría,La Libertad,5.46
EST000246,Estudiante 246,Ingeniería Industrial,San Miguel,8.73
EST000247,Estudiante 247,Contaduría,La Libertad,9.58
EST000248,Estudiante 248,Ingeniería en Sistemas,San Salvador,7.46
EST000249,Estudiante 249,Arquitectura,Santa Ana,9.45
EST000250,Estudiante 250,Administración,Santa Ana,6.81
EST000251,Estudiante 251,Contaduría,San Miguel,8.82
EST000252,Estudiante 252,Ingeniería Industrial,Santa Ana,6.25
EST000253,Estudiante 253,Administración,La Libertad,6.83
EST000254,Estudiante 254,Contaduría,Sonsonate,8.79
EST000255,Estudiante 255,Ingeniería en Sistemas,Sonsonate,5.14
EST000256,Estudiante 256,Ingeniería en Sistemas,San Salvador,8.02
EST000257,Estudiante 257,Ingeniería Industrial,San Miguel,9.93
EST000258,Estudiante 258,Contaduría,Santa Ana,9.18
EST000259,Estudiante 259,Administración,San Miguel,6.31
EST000260,Estudiante 260,Ingeniería en Sistemas,San Miguel,5.1
EST000261,Estudiante 261,Administración,Sonsonate,7.14
EST000262,Estudiante 262,Administración,San Miguel,6.66
EST000263,Estudiante 263,Contaduría,San Miguel,7.32
EST000264,Estudiante 264,Contaduría,San Salvador,6.46
EST000265,Estudiante 265,Ingeniería Industrial,La Libertad,6.19
EST000266,Estudiante 266,Administración,San Salvador,8.93
EST000267,Estudiante 267,Contaduría,San Miguel,5.98
EST000268,Estudiante 268,Arquitectura,La Libertad,5.88
EST000269,Estudiante 269,Ingeniería en Sistemas,San Salvador,9.22
EST000270,Estudiante 270,Administración,San Miguel,6.91
EST000271,Estudiante 271,Contaduría,Santa Ana,6.16
EST000272,Estudiante 272,Ingeniería Industrial,Santa Ana,9.08
EST000273,Estudiante 273,Administración,Santa Ana,5.79
EST000274,Estudiante 274,Ingeniería en Sistemas,La Libertad,9.23
EST000275,Estudiante 275,Ingeniería Industrial,Sonsonate,7.34
EST000276,Estudiante 276,Administración,San Salvador,6.28
EST000277,Estudiante 277,Administración,La Libertad,7.46
EST000278,Estudiante 278,Administración,San Miguel,5.63
EST000279,Estudiante 279,Contaduría,Santa Ana,9.43
EST000280,Estudiante 280,Contaduría,San Miguel,7.89
EST000281,Estudiante 281,Ingeniería en Sistemas,Santa Ana,5.63
EST000282,Estudiante 282,Administración,Santa Ana,6.44
EST000283,Estudiante 283,Arquitectura,Sonsonate,5.97
EST000284,Estudiante 284,Ingeniería en Sistemas,Sonsonate,6.09
EST000285,Estudiante 285,Ingeniería en Sistemas,Sonsonate,5.31
EST000286,Estudiante 286,Ingeniería Industrial,San Miguel,5.51
EST000287,Estudiante 287,Arquitectura,San Miguel,7.61
EST000288,Estudiante 288,Administración,Santa Ana,6.48
EST000289,Estudiante 289,Administración,Santa Ana,8.15
EST000290,Estudiante 290,Arquitectura,San Miguel,8.72
EST000291,Estudiante 291,Contaduría,San Miguel,7.62
EST000292,Estudiante 292,Ingeniería en Sistemas,Sonsonate,6.49
EST000293,Estudiante 293,Ingeniería Industrial,Santa Ana,8.64
EST000294,Estudiante 294,Contaduría,Sonsonate,9.59
EST000295,Estudiante 295,Arquitectura,Sonsonate,9.97
EST000296,Estudiante 296,Ingeniería Industrial,Santa Ana,6.22
EST000297,Estudiante 297,Ingeniería Industrial,La Libertad,7.48
EST000298,Estudiante 298,Administración,Santa Ana,9.84
EST000299,Estudiante 299,Administración,La Libertad,6.13
EST000300,Estudiante 300,Contaduría,San Salvador,7.17
EST000301,Estudiante 301,Ingeniería Industrial,San Salvador,6.9
EST000302,Estudiante 302,Arquitectura,San Salvador,9.02
EST000303,Estudiante 303,Arquitectura,La Libertad,7.29
EST000304,Estudiante 304,Contaduría,Sonsonate,8.21
EST000305,Estudiante 305,Ingeniería Industrial,San Miguel,9.14
EST000306,Estudiante 306,Ingeniería en Sistemas,La Libertad,8.08
EST000307,Estudiante 307,Ingeniería Industrial,La Libertad,5.64
EST000308,Estudiante 308,Contaduría,La Libertad,9.26
EST000309,Estudiante 309,Contaduría,La Libertad,9.34
EST000310,Estudiante 310,Ingeniería Industrial,Sonsonate,8.02
EST000311,Estudiante 311,Arquitectura,San Miguel,6.79
EST000312,Estudiante 312,Arquitectura,Santa Ana,8.16
EST000313,Estudiante 313,Ingeniería en Sistemas,La Libertad,6.42
EST000314,Estudiante 314,Administración,San Miguel,7.63
EST000315,Estudiante 315,Contaduría,Sonsonate,5.97
EST000316,Estudiante 316,Ingeniería en Sistemas,San Salvador,8.43
EST000317,Estudiante 317,Arquitectura,Santa Ana,9.45
EST000318,Estudiante 318,Arquitectura,San Salvador,5.47
EST000319,Estudiante 319,Administración,La Libertad,8.0
EST000320,Estudiante 320,Contaduría,Sonsonate,6.72
EST000321,Estudiante 321,Administración,Sonsonate,8.3
EST000322,Estudiante 322,Ingeniería en Sistemas,Sonsonate,5.62
EST000323,Estudiante 323,Contaduría,San Miguel,5.45
EST000324,Estudiante 324,Arquitectura,Sonsonate,6.74
EST000325,Estudiante 325,Contaduría,Santa Ana,9.85
EST000326,Estudiante 326,Ingeniería en Sistemas,Sonsonate,8.06
EST000327,Estudiante 327,Arquitectura,San Salvador,5.86
EST000328,Estudiante 328,Contaduría,Sonsonate,8.38
EST000329,Estudiante 329,Administración,Santa Ana,5.28
EST000330,Estudiante 330,Contaduría,La Libertad,5.05
EST000331,Estudiante 331,Contaduría,San Miguel,7.63
EST000332,Estudiante 332,Ingeniería Industrial,Santa Ana,6.67
EST000333,Estudiante 333,Ingeniería en Sistemas,Santa Ana,7.28
EST000334,Estudiante 334,Ingeniería Industrial,San Salvador,6.13
EST000335,Estudiante 335,Contaduría,San Miguel,7.1
EST000336,Estudiante 336,Ingeniería Industrial,San Miguel,9.24
EST000337,Estudiante 337,Administración,San Salvador,6.36
EST000338,Estudiante 338,Ingeniería Industrial,San Salvador,7.1
EST000339,Estudiante 339,Arquitectura,Santa Ana,8.2
EST000340,Estudiante 340,Administración,Santa Ana,5.1
EST000341,Estudiante 341,Administración,San Salvador,9.21
EST000342,Estudiante 342,Ingeniería Industrial,Santa Ana,9.07
EST000343,Estudiante 343,Arquitectura,San Salvador,7.39
EST000344,Estudiante 344,Ingeniería Industrial,Sonsonate,9.8
EST000345,Estudiante 345,Contaduría,La Libertad,7.13
EST000346,Estudiante 346,Ingeniería Industrial,Sonsonate,6.27
EST000347,Estudiante 347,Arquitectura,San Miguel,9.97
EST000348,Estudiante 348,Arquitectura,La Libertad,9.52
EST000349,Estudiante 349,Ingeniería en Sistemas,Sonsonate,6.17
EST000350,Estudiante 350,Administración,Santa Ana,6.24
EST000351,Estudiante 351,Ingeniería Industrial,Santa Ana,9.23
EST000352,Estudiante 352,Ingeniería Industrial,San Miguel,7.94
EST000353,Estudiante 353,Ingeniería Industrial,La Libertad,9.33
EST000354,Estudiante 354,Ingeniería en Sistemas,Sonsonate,7.28
EST000355,Estudiante 355,Ingeniería Industrial,Sonsonate,5.12
EST000356,Estudiante 356,Arquitectura,Santa Ana,9.34
EST000357,Estudiante 357,Administración,Santa Ana,9.26
EST000358,Estudiante 358,Ingeniería Industrial,San Salvador,5.65
EST000359,Estudiante 359,Ingeniería Industrial,Sonsonate,7.49
EST000360,Estudiante 360,Contaduría,La Libertad,9.74
EST000361,Estudiante 361,Contaduría,San Salvador,9.19
EST000362,Estudiante 362,Arquitectura,San Miguel,9.48
EST000363,Estudiante 363,Ingeniería Industrial,San Salvador,5.71
EST000364,Estudiante 364,Contaduría,San Miguel,7.46
EST000365,Estudiante 365,Ingeniería Industrial,San Salvador,8.25
EST000366,Estudiante 366,Arquitectura,La Libertad,6.86
EST000367,Estudiante 367,Administración,Sonsonate,7.89
EST000368,Estudiante 368,Arquitectura,San Miguel,6.91
EST000369,Estudiante 369,Arquitectura,San Salvador,6.86
EST000370,Estudiante 370,Administración,La Libertad,9.79
EST000371,Estudiante 371,Administración,Santa Ana,5.99
EST000372,Estudiante 372,Administración,San Salvador,5.84
EST000373,Estudiante 373,Administración,San Salvador,8.06
EST000374,Estudiante 374,Contaduría,La Libertad,7.44
EST000375,Estudiante 375,Ingeniería en Sistemas,San Miguel,8.01
EST000376,Estudiante 376,Arquitectura,Santa Ana,5.45
EST000377,Estudiante 377,Ingeniería en Sistemas,Sonsonate,8.85
EST000378,Estudiante 378,Arquitectura,San Salvador,9.32
EST000379,Estudiante 379,Administración,Sonsonate,9.63
EST000380,Estudiante 380,Ingeniería Industrial,Santa Ana,7.23
EST000381,Estudiante 381,Ingeniería Industrial,San Miguel,6.76
EST000382,Estudiante 382,Ingeniería Industrial,San Miguel,6.75
EST000383,Estudiante 383,Contaduría,Santa Ana,7.49
EST000384,Estudiante 384,Ingeniería Industrial,San Salvador,9.01
EST000385,Estudiante 385,Administración,Santa Ana,5.13
EST000386,Estudiante 386,Ingeniería en Sistemas,San Salvador,5.24
EST000387,Estudiante 387,Ingeniería en Sistemas,San Salvador,5.39
EST000388,Estudiante 388,Ingeniería Industrial,San Salvador,9.5
EST000389,Estudiante 389,Ingeniería Industrial,La Libertad,6.96
EST000390,Estudiante 390,Ingeniería en Sistemas,San Miguel,6.61
EST000391,Estudiante 391,Administración,San Salvador,8.0
EST000392,Estudiante 392,Administración,San Salvador,8.1
EST000393,Estudiante 393,Ingeniería en Sistemas,Sonsonate,6.41
EST000394,Estudiante 394,Ingeniería en Sistemas,San Miguel,6.11
EST000395,Estudiante 395,Arquitectura,La Libertad,9.28
EST000396,Estudiante 396,Contaduría,Sonsonate,9.12
EST000397,Estudiante 397,Ingeniería en Sistemas,Santa Ana,7.43
EST000398,Estudiante 398,Administración,Sonsonate,7.97
EST000399,Estudiante 399,Contaduría,San Salvador,6.39
EST000400,Estudiante 400,Contaduría,San Salvador,9.95
EST000401,Estudiante 401,Ingeniería en Sistemas,Santa Ana,9.84
EST000402,Estudiante 402,Administración,Santa Ana,7.03
EST000403,Estudiante 403,Ingeniería Industrial,San Salvador,6.4
EST000404,Estudiante 404,Administración,La Libertad,6.94
EST000405,Estudiante 405,Ingeniería Industrial,San Salvador,5.77
EST000406,Estudiante 406,Contaduría,San Miguel,7.98
EST000407,Estudiante 407,Contaduría,Sonsonate,7.71
EST000408,Estudiante 408,Ingeniería en Sistemas,Sonsonate,7.4
EST000409,Estudiante 409,Ingeniería en Sistemas,La Libertad,5.54
EST000410,Estudiante 410,Contaduría,La Libertad,8.4
EST000411,Estudiante 411,Ingeniería en Sistemas,La Libertad,8.43
EST000412,Estudiante 412,Contaduría,Sonsonate,5.64
EST000413,Estudiante 413,Ingeniería en Sistemas,San Miguel,7.27
EST000414,Estudiante 414,Arquitectura,Sonsonate,9.04
EST000415,Estudiante 415,Administración,La Libertad,5.37
EST000416,Estudiante 416,Ingeniería Industrial,La Libertad,6.8
EST000417,Estudiante 417,Administración,La Libertad,6.84
EST000418,Estudiante 418,Ingeniería Industrial,San Salvador,7.01
EST000419,Estudiante 419,Contaduría,San Miguel,9.99
EST000420,Estudiante 420,Ingeniería Industrial,Sonsonate,9.88
EST000421,Estudiante 421,Arquitectura,San Miguel,7.23
EST000422,Estudiante 422,Arquitectura,Sonsonate,5.8
EST000423,Estudiante 423,Contaduría,Santa Ana,6.64
EST000424,Estudiante 424,Contaduría,Santa Ana,9.95
EST000425,Estudiante 425,Ingeniería en Sistemas,San Salvador,5.73
EST000426,Estudiante 426,Arquitectura,San Miguel,6.1
EST000427,Estudiante 427,Contaduría,Sonsonate,8.13
EST000428,Estudiante 428,Contaduría,Sonsonate,7.76
EST000429,Estudiante 429,Contaduría,La Libertad,7.67
EST000430,Estudiante 430,Contaduría,Santa Ana,6.62
EST000431,Estudiante 431,Contaduría,San Miguel,7.94
EST000432,Estudiante 432,Arquitectura,San Salvador,7.19
EST000433,Estudiante 433,Ingeniería Industrial,Sonsonate,8.01
EST000434,Estudiante 434,Ingeniería Industrial,Santa Ana,6.82
EST000435,Estudiante 435,Contaduría,San Salvador,6.38
EST000436,Estudiante 436,Arquitectura,La Libertad,8.53
EST000437,Estudiante 437,Ingeniería Industrial,Sonsonate,5.54
EST000438,Estudiante 438,Administración,San Salvador,6.39
EST000439,Estudiante 439,Administración,Santa Ana,7.23
EST000440,Estudiante 440,Contaduría,Santa Ana,8.1
EST000441,Estudiante 441,Administración,La Libertad,5.89
EST000442,Estudiante 442,Ingeniería Industrial,San Miguel,9.7
